words_list,labels
['Vi' 'Kal' '29' 'Tarik' '100'],['name' 'lang2' 'other' 'lang2' 'other']
['Bhaijaan' 'plz' '1' 'reply'],['lang2' 'lang1' 'other' 'lang1']
"['Aamir' 'bhai' 'suspense' 'behind' 'ur' 'movie' '..' 'we' 'are' 'waiting'
 ',' 'salman' 'or' 'shahrukh' 'ko' 'phir' 'se' 'maza' 'chakha' 'den']","['name' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1'
 'lang1' 'other' 'name' 'lang2' 'name' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2']"
"['@hinduwarrior15' 'If' 'only' 'you' 'are' 'register' 'to' 'it' '.' 'But'
 'its' 'terrible' 'live' 'stream' 'there' 'coz' 'they' 'show' '5' 'or'
 '10' 'mins' 'late']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'other' 'lang1' 'other' 'lang1' 'lang1']"
"['virat' 'is' 'the' 'best' 'parson' 'as' 'well' 'as' 'cricketer' 'in'
 'the' 'world' '..' '.' 'and' 'no' 'one' 'can' 'be' 'like' 'virat' 'kohli'
 'in' 'the' 'present' 'era' '..' '..' 'because' 'he' 'knows' 'very' 'well'
 'that' 'how' 'should' 'handle' 'a' 'critical' 'problem' 'in' 'the'
 'pressure' 'situation' '..' '..' 'and' 'finally' 'i' 'wanna' 'say' 'that'
 'kohli' 'is' 'best' '..' '..' '..' 'Er' 'Mohd' 'Nadeem' '..' '..' '.']","['name' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'name' 'name' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'name' 'lang1' 'lang1'
 'other' 'other' 'other' 'name' 'name' 'name' 'other' 'other' 'other']"
"['More' 'power' 'to' 'you' '@Shubhrastha' 'Bash' 'these' 'pseudo'
 'seculars' 'and' 'commies' 'even' 'harder' '.' 'They' 'deserve' 'no'
 'mercy' '.' 'They' 'are' 'sick' 'from' 'the' 'core' '.']","['lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']"
"['Jag' 'ghumaya' 'thare' 'jaisa' 'naa' 'koi' '..' '.' 'u' 'r' 'the' 'best'
 'Virat' 'luv' 'u' 'so' 'much' 'SULTAN' 'of' 'cricket' '..' '..' 'always'
 'make' 'us' 'proud' '..' 'soon' 'meet' 'u' 'cheeku' 'in' 'ranchi' '..'
 '..' '.' ':' '*' ':' '*' ':' '*' ':' '*' ':' '*' 'luv' 'uh']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang1'
 'lang1' 'lang1' 'lang1' 'name' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2'
 'lang1' 'lang1' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'other'
 'lang1' 'lang1' 'lang1' 'name' 'lang1' 'name' 'other' 'other' 'other' 'other'
 'other' 'other' 'other' 'other' 'other' 'other' 'other' 'other' 'other'
 'lang1' 'lang1']"
"['Dhoni' 'will' 'play' 'back' '2019' 'to' 'bring' 'world' 'cup' 'our'
 'country']","['name' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1']"
"['Yr' 'life' 'is' 'amazingallthough' '.' 'Admit' 'u' 'have' 'towork' 'v'
 'hard' 'spend' 'hours']","['lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1']"
"['@myogiadityanath' '@Manekagandhibjp' '@noida_authority' 'please'
 'release' 'their' 'funds' 'so' 'these' 'animals' 'can' 'get' 'the' 'food'
 'and' 'medical' 'care' 'due' 'to' 'them']","['other' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1']"
"['Love' 'you' 'Bhaijan' 'I' ""'m"" 'super' 'jabar' 'biggest' 'fan' 'love'
 'You']","['lang1' 'lang1' 'name' 'lang1' 'lang1' 'lang1' 'lang2' 'lang1' 'lang1'
 'lang1' 'lang1']"
['@amitomsharma' '@meerasanyal' 'No' 'worries' '.' 'I' 'understand' ':)'],['other' 'other' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'other']
"['Yeah' '@diljitdosanjh' 'is' 'big' 'fan' 'of' 'yours' '@KylieJenner'
 'and' 'i' 'am' 'fan' 'of' 'him' '.' 'Do' 'you' 'know' 'he' 'is'
 'rockstar' '.' 'I' 'guess' 'you' 'have' 'not' 'noticed' 'him' '..']","['lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other']"
['Yes' '!' 'we' 'are' 'waiting' 'to' 'see' 'you' 'on' 'Ellen' '!'],"['lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'name' 'other']"
['Hahaha' '.' 'Good' 'reply'],['other' 'other' 'lang1' 'lang1']
"['@discreteindian' 'Short' 'pants' 'mindset' '.' 'Long' 'on' 'vitriol'
 'and' 'short' 'on' 'grey' 'matter']","['other' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1']"
"['admin' 'ab' 'is' 'pg' 'pe' 'post' 'krne' 'k' 'lia' 'kch' 'aur' 'nai'
 'bacha' 'kya']","['lang1' 'lang2' 'lang2' 'lang1' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']"
"['@NavinGPradhan1' '@malviyamit' 'It' ""'s"" 'still' 'a' 'very' 'small'
 'gathering' '..' '.' 'but' 'it' ""'s"" 'ok' 'hope' 'there' 'is' 'a' 'good'
 'fight' 'from' 'the' 'opposition']","['other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']"
"['Machis' 'to' 'joothe' 'badnaam' 'hai' 'aag' 'to' 'Kohli' 'ne' 'laga'
 'rakhi' 'hai' 'very' 'very' 'congratulations' 'virat']","['lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'name' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang1' 'lang1' 'lang1' 'name']"
"['You' 'have' 'done' 'wonders' 'for' 'India' 'and' 'for' 'the' 'moral'
 'boost' 'of' 'the' 'Indians' '!' 'You' 'are' 'so' 'GREAT' ',' 'Modiji'
 '!!']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'name' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'name' 'other' 'lang1' 'lang1' 'lang1'
 'lang1' 'other' 'name' 'other']"
"['There' 'is' 'kohli' 'show' 'in' 'mohali' 'ground' 'the' 'run' 'machine'
 '150*kya' 'kholi' 'sir' 'bnna' 'pata' 'ha']","['lang1' 'lang1' 'name' 'name' 'lang1' 'name' 'lang1' 'lang1' 'lang1' 'lang1'
 'other' 'name' 'lang1' 'lang2' 'lang2' 'lang2']"
['Salman' 'Ji' 'You' 'are' 'My' 'favorite' 'Hero' 'forever'],['name' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']
"['Para' 'emprestar' 'de' 'cricket' 'defensivo' 'jogar' 'deu' 'a'
 'agressivo' 'rebatendo' '&' 'isso' 'ajudar' 'tanto' 'india']","['fw' 'fw' 'fw' 'lang1' 'fw' 'fw' 'fw' 'fw' 'fw' 'fw' 'lang1' 'fw' 'fw'
 'fw' 'name']"
"['Priya' 'gi' 'sorry' 'in' 'the' 'no' 'play' 'option' 'happy' 'good'
 'night']","['name' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1']"
"['Am' 'I' 'looking' 'at' 'a' 'politician' 'here' '??' 'Nope' '..' 'I' 'am'
 'looking' 'at' 'a' 'leader' 'of' 'a' 'country' 'who' 'is' 'making' 'it'
 'easier' 'for' 'the' 'people' 'to' 'know' 'the' 'difference' 'between'
 'politician' 'and' 'leader' '..' 'A' 'leader' ',' 'the' 'people' ""'s""
 'choice' '..']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1'
 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other'
 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'other']"
"['test' 'should' 'be' 'who' 'sets' 'the' 'class' 'on' 'fire' 'the'
 'fastest']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1']"
"['Who' 'says' 'ab' 'devillers' 'better' '..' '.' 'I' 'think' 'virat'
 'kohli' 'is' 'the' 'best' 'batsman' 'in' 'any' 'formats' 'in' 'the'
 'world' '..' '.' '..' 'Raise' 'your' 'hands' 'if' 'you' 'think' 'virat'
 'is' 'the' 'best' '..' '.']","['lang1' 'lang1' 'name' 'name' 'lang1' 'other' 'other' 'lang1' 'lang1' 'name'
 'name' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'name' 'lang1' 'lang1' 'lang1' 'other' 'other']"
['wao' 'kohli' 'and' 'dhoni'],['lang1' 'name' 'lang1' 'name']
"['Our' 'goodness' 'Russia' 'with' 'stand' 'of' 'india' 'we' 'have' 'to'
 'need' 'Russia' 'alyays' 'escape' 'us' '..' '..' 'we' 'need' 'not' 'dare'
 'to' 'any' 'country' 'itihaas' 'gvaa' 'hai']","['lang1' 'lang1' 'name' 'lang1' 'lang1' 'lang1' 'name' 'lang1' 'lang1' 'lang1'
 'lang1' 'name' 'lang1' 'lang1' 'lang1' 'other' 'other' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2']"
"['kyaa' 'comment' 'karen' 'big' 'bee' 'ke' 'liye' 'mein' 'unke' 'samaksh'
 'baunaa' 'mahsoos' 'kartaa' 'hoon']","['lang2' 'lang1' 'lang2' 'name' 'name' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2']"
['Love' 'to' 'salman' 'bhaijan'],['lang1' 'lang1' 'name' 'lang2']
"['Bhai' 'aapne' 'kah' 'diya' 'bas' 'ab' 'to' 'ye' 'movie' 'bhi' 'dekhna'
 'he']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1'
 'lang2' 'lang2' 'lang2']"
"['@LloyddDsouza' 'Hi' ',' 'we' 'have' 'made' 'a' 'note' 'of' 'it' '.' 'We'
 'will' 'get' 'back' 'to' 'you' '.']","['other' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']"
"['@phantasmagothic' 'I' 'am' 'sorry' 'this' 'happened' 'to' 'you' '.' 'My'
 'friend' 'faced' 'the' 'same' 'in' 'front' 'of' 'our' 'college' '.'
 'Other' 'friend' 'faced' 'it' 'at' 'marine' 'drives' '.']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'name' 'name' 'other']"
"['@roxannebamboat' 'Can' 'share' 'many' 'recipes' '.' 'Going' 'the' 'keto'
 'way' '?']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1'
 'lang1' 'other']"
['namo' 'ke' 'bhasan' 'se' 'to' 'esa' 'lagta' 'hai'],['name' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
"['Best' 'Possible' 'remedy' 'to' 'resolve' 'unmetered' 'Power' 'Supply'
 '#Saubhagya' '#Gujjubhaikadimaag']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2'
 'lang2']"
"['Sirji' 'i' 'have' 'watched' 'the' 'trailer' 'of' 'MS' 'DHONI' ':' 'the'
 'untold' 'story' 'more' 'than' '30' 'times' 'and' 'i' 'am' 'still'
 'watching' 'it' '.' 'You' 'are' 'the' 'best' '.']","['mixed' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'name' 'name' 'name'
 'name' 'name' 'name' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'other']"
"['Modi' 'ji' 'sir' 'aap' 'ka' 'jawab' 'nahin' 'par' 'putin' 'sir' 'bhi'
 'lajawab' 'hai' '.' 'waqt' 'aane' 'par' 'America' 'line' 'badal' 'sakta'
 'hai' 'par' 'russia' 'nahin' '.' 'kabhi' 'bhi' 'nahin' '.' 'Russian'
 'pak' 'ke' 'pass' 'ja' 'ke' 'hame' 'ehsaas' 'karva' 'reha' 'hai' 'ke'
 'hame' 'bhoolo' 'mat' 'aur' 'hame' 'bhoolna' 'bhi' 'nahin' 'chahia' '.']","['name' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'name' 'lang1'
 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'name' 'lang1'
 'lang2' 'lang2' 'lang2' 'lang2' 'name' 'lang2' 'other' 'lang2' 'lang2'
 'lang2' 'other' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
"['why' 'dont' 'people' 'understand' 'the' 'difference' 'betwen' 'a'
 'confession' 'nd' 'a' 'question' '?' 'anyway' 'to' 'answer' 'ur'
 'question' '..' 'because' 'we' 'dont' 'need' 'to' 'impress' 'anyone'
 '-_-']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']"
"['Our' 'PM' 'is' 'Lion' ',' 'we' 'are' 'proud' 'we' 'are' 'Indian' 'my'
 'PM' 'Modi' 'jee' 'is' 'one' 'of' 'the' 'king' 'maker' ',' '(' 'JAI'
 'Hind' 'bharath' 'maatha' 'kee' 'jai' 'jai' 'Hind' 'jai' 'ho' 'Modi'
 'jee' 'jai' 'Hind' 'bharath' 'maatha' 'kee' 'jai' 'jai' 'Hind' 'vande'
 'maathram' 'JAI' 'HIND']","['lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'name' 'lang1' 'lang1' 'name' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other' 'other' 'lang2' 'lang2' 'name' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'name' 'lang2' 'lang2' 'lang2' 'name'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']"
['Salute' 'sir' '.' 'Jai' 'hind' '.'],['lang1' 'lang1' 'other' 'lang2' 'lang2' 'other']
"['#assalamualykum' '#salmansir' 'mai' 'aap' 'ka' 'bahut' 'bada' 'fan' 'hu'
 '..' 'mujhe' 'aapki' 'har' 'movie' 'bahut' 'pasand' 'hai' '..' '.'
 '#iloveuhh']","['lang2' 'name' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2'
 'other' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'other'
 'other' 'lang1']"
['V' 'really' 'proud' 'of' 'India' 'rashia' 'friendship'],['lang1' 'lang1' 'lang1' 'lang1' 'name' 'name' 'lang1']
"['Hiiiii' 'sir' 'love' 'you' '..' '..' '..' '..' 'please' 'koi' 'acha'
 'movie' 'leke' 'aiyye' '..' '..' '.' 'we' 'r' 'waiting' '!!' '!!']","['lang1' 'lang1' 'lang1' 'lang1' 'other' 'other' 'other' 'other' 'lang1'
 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'other' 'other' 'other' 'lang1'
 'lang1' 'lang1' 'other' 'other']"
"['@scratchysingh' ""It's"" 'like' 'pados' 'ka' 'launda' 'agar' 'aap' 'ko'
 'thoktaa' 'hain' 'aur' 'aap' 'ke' 'papa' 'taali' 'bajaatey' 'sabhaash'
 'beta' 'bahut' 'badiya' '!' 'Doh' 'aur' 'maar' '.']","['other' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'other']"
['#DTD100Million' 'stream' 'itt' 'now'],['lang1' 'lang1' 'lang1' 'lang1']
"['Didi' '(' 'PC' ')' 'Do' ""n't"" 'forget' 'Bollywood' ',' 'I' 'am' 'big'
 'fan' 'Yash' ',' 'you' 'are' 'best' '&' 'best' '&' 'best' '.']","['lang2' 'other' 'name' 'other' 'lang1' 'lang1' 'lang1' 'name' 'other' 'lang1'
 'lang1' 'lang1' 'lang1' 'name' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'other']"
['Modiji' 'age' 'bariea' 'puradesh' 'apka' 'sath' 'hai'],['name' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
"['Sacche' 'hindu' '..' '.' 'Ye' 'film' 'flop' 'kara' 'ke' 'rahenge' '..'
 '.']","['lang2' 'lang2' 'other' 'other' 'lang2' 'lang1' 'lang1' 'lang2' 'lang2'
 'lang2' 'other' 'other']"
['Ederson' 'is' 'so' 'impressive' '👌'],['name' 'lang1' 'lang1' 'lang1' 'other']
"['The' 'visiting' 'dignitary' 'clearly' 'irritated' 'by' 'Modi' 'already'
 '.' 'india' 'can' 'expect' 'something' 'negative' 'from' 'New' 'Zealand'
 'as' 'well' '.']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'name' 'lang1' 'other' 'name'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'name' 'name' 'lang1' 'lang1' 'other']"
['end' 'of' 'an' 'era' 'but' 'his' 'voice' 'will' 'be' 'echoing' 'rip'],"['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1']"
"['Aamir' 'khan' 'ji' 'aap' 'meray' 'favoroute' 'actor' 'ho' 'mai' 'bus'
 'ek' 'baar' 'apkay' 'pairo' 'ko' 'Chuna' 'chahta' 'hu' 'or' 'apko' 'gale'
 'lagana' 'chahta' 'hu' 'yeh' 'mera' 'dream' 'hai' 'kyuki' 'aap' 'jaisa'
 'talented' 'actor' 'or' 'aap' 'jaisa' 'acha' 'insaan' 'puri' 'duniya'
 'mai' 'say' 'dhoodhnay' 'say' 'bhi' 'nahi' 'milega' 'plz' 'mujhay' 'ek'
 'moka' 'dijiye' 'ki' 'mai' 'apna' 'dream' 'pura' 'kar' 'saku']","['name' 'name' 'lang2' 'lang2' 'lang2' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang1' 'lang2' 'lang2' 'lang2']"
"['The' 'message' 'would' 'be' 'farther' 'reaching' 'if' 'made' 'into'
 'movie' '(' 'not' 'documentary' ')' '&' 'done' 'all' 'by' 'women' '..'
 '.' 'written' ',' 'directed' ',' 'produced' ',' 'music' '&' 'whatever'
 'else' 'goes' 'into' 'getting' 'movie' 'done' '&' 'distributed' '.' 'U'
 'have' 'the' 'talent' '&' 'connections' 'to' 'do' 'this' '.' 'People'
 'love' 'to' 'emulate' 'their' 'favorite' 'movie/stars' '.' 'Girl' ""'s""
 'education' 'reality' 'could' 'be' 'changed' 'in' 'just' '1' 'generation'
 '.']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other' 'other' 'lang1' 'other' 'lang1' 'other' 'lang1' 'other'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'other']"
"['A' 'modern' 'woman' 'always' 'is' 'n’t' 'one' 'fighting' 'for' 'her'
 'rights' '.' 'Truly' 'modern' 'is' 'one' 'who' 'keeps' 'family' 'above'
 'herself' '.' 'For' 'me' 'Mrs' 'Modi' 'most' 'modern']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'name' 'lang1'
 'lang1']"
['@GuptRogue' '@roxannebamboat' 'Done' '!'],['other' 'other' 'lang1' 'other']
['Hi' 'I' 'am' 'emraan' 'tum' 'friend' 'ban' 'jao' 'mere'],['lang1' 'lang1' 'lang1' 'name' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2']
"['Yoy' 'take' 'any' 'decisions' 'we' 'support' 'you' 'sir' 'and' 'we'
 'proud' 'and' 'respect' 'you']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']"
